Date, Close/Last, Volume, Open, High, Low
07/23/2020, 1890, 400358, 1871.6, 1897.7, 1863.1
07/22/2020, 1865.1, 376705, 1842.8, 1871.8, 1842.1
07/21/2020, 1843.9, 265677, 1819.6, 1844.9, 1817.2
07/20/2020, 1817.4, 173983, 1812.3, 1823.4, 1806.6
07/17/2020, 1810, 162684, 1796.9, 1813.9, 1795.2
07/16/2020, 1800.3, 190841, 1813.1, 1816.2, 1794.1
07/15/2020, 1813.8, 179267, 1811.1, 1819.5, 1804
07/14/2020, 1813.4, 235992, 1810.9, 1813.6, 1809.6
07/13/2020, 1814.1, 218006, 1803.4, 1818.8, 1802.1
07/10/2020, 1801.9, 208264, 1808.4, 1817, 1796.5
07/09/2020, 1803.8, 265280, 1818.8, 1825.5, 1799.6
07/08/2020, 1820.6, 232708, 1807.9, 1829.8, 1803.8
07/07/2020, 1809.9, 217229, 1793.9, 1810.8, 1781.2
07/06/2020, 1793.5, 140564, 1787, 1799, 1779.2
07/02/2020, 1790, 181017, 1779, 1791.7, 1766.3
07/01/2020, 1779.9, 258541, 1798.9, 1807.7, 1767.9
06/30/2020, 1800.5, 190351, 1799.2, 1801.4, 1795.5
06/29/2020, 1781.2, 128441, 1789.2, 1790.4, 1776.5
06/26/2020, 1780.3, 195963, 1774.8, 1786.2, 1754
06/25/2020, 1770.6, 148788, 1772.3, 1779.6, 1764.1
06/24/2020, 1775.1, 230610, 1784.4, 1796.1, 1770.6
06/23/2020, 1782, 190018, 1764.9, 1786.8, 1758.3
06/22/2020, 1766.4, 219460, 1765.8, 1779, 1753.5
06/19/2020, 1753, 174981, 1729.8, 1760.9, 1728.3
06/18/2020, 1731.1, 152628, 1735.5, 1749.2, 1722.7
06/17/2020, 1735.6, 137879, 1735.3, 1739.3, 1717.3
06/16/2020, 1736.5, 177702, 1732.3, 1741.3, 1721.8
06/15/2020, 1727.2, 195205, 1740.7, 1743.8, 1706.2
06/12/2020, 1737.3, 148176, 1733.6, 1753, 1728.2
06/11/2020, 1739.8, 202214, 1746.6, 1754.9, 1727.5
06/10/2020, 1720.7, 195593, 1718.9, 1749.4, 1714.1
